clf,atlas_name,itr,tp,tn,fp,fn,sen,spc,acc,pre,npv,f1,roc_auc
KNeighborsClassifier,rois_ho,3,24,34,13,17,0.585365854,0.723404255,0.659090909,0.648648649,0.666666667,0.615384615,0.654
KNeighborsClassifier,rois_ho,4,23,25,22,18,0.56097561,0.531914894,0.545454545,0.511111111,0.581395349,0.534883721,0.546
KNeighborsClassifier,rois_ho,5,24,24,23,17,0.585365854,0.510638298,0.545454545,0.510638298,0.585365854,0.545454545,0.548
KNeighborsClassifier,rois_ho,6,24,33,14,17,0.585365854,0.70212766,0.647727273,0.631578947,0.66,0.607594937,0.644
KNeighborsClassifier,rois_ho,7,22,21,27,18,0.55,0.4375,0.488636364,0.448979592,0.538461538,0.494382022,0.494
KNeighborsClassifier,rois_ho,8,26,33,15,14,0.65,0.6875,0.670454545,0.634146341,0.70212766,0.641975309,0.669
KNeighborsClassifier,rois_ho,9,27,32,16,13,0.675,0.666666667,0.670454545,0.627906977,0.711111111,0.65060241,0.671
KNeighborsClassifier,rois_ho,average,23.7,29.3,18.2,17,0.582621951,0.616843972,0.600881001,0.569997087,0.632088415,0.573396931,0.5997
GaussianNB,rois_ho,0,24,34,14,17,0.585365854,0.708333333,0.651685393,0.631578947,0.666666667,0.607594937,0.647
GaussianNB,rois_ho,1,23,32,16,18,0.56097561,0.666666667,0.617977528,0.58974359,0.64,0.575,0.614
GaussianNB,rois_ho,2,22,29,18,19,0.536585366,0.617021277,0.579545455,0.55,0.604166667,0.543209877,0.577
GaussianNB,rois_ho,3,29,34,13,12,0.707317073,0.723404255,0.715909091,0.69047619,0.739130435,0.698795181,0.715
GaussianNB,rois_ho,4,23,27,20,18,0.56097561,0.574468085,0.568181818,0.534883721,0.6,0.547619048,0.568
GaussianNB,rois_ho,5,23,24,23,18,0.56097561,0.510638298,0.534090909,0.5,0.571428571,0.528735632,0.536
GaussianNB,rois_ho,6,27,35,12,14,0.658536585,0.744680851,0.704545455,0.692307692,0.714285714,0.675,0.702
GaussianNB,rois_ho,7,32,33,15,8,0.8,0.6875,0.738636364,0.680851064,0.804878049,0.735632184,0.744
GaussianNB,rois_ho,8,29,31,17,11,0.725,0.645833333,0.681818182,0.630434783,0.738095238,0.674418605,0.685
GaussianNB,rois_ho,9,30,36,12,10,0.75,0.75,0.75,0.714285714,0.782608696,0.731707317,0.75
GaussianNB,rois_ho,average,26.2,31.5,16,14.5,0.644573171,0.66285461,0.654239019,0.62145617,0.686126004,0.631771278,0.6538
DecisionTreeClassifier,rois_ho,0,7,43,5,34,0.170731707,0.895833333,0.561797753,0.583333333,0.558441558,0.264150943,0.533
DecisionTreeClassifier,rois_ho,1,15,26,22,26,0.365853659,0.541666667,0.460674157,0.405405405,0.5,0.384615385,0.454
DecisionTreeClassifier,rois_ho,2,18,27,20,23,0.43902439,0.574468085,0.511363636,0.473684211,0.54,0.455696203,0.507
DecisionTreeClassifier,rois_ho,3,23,29,18,18,0.56097561,0.617021277,0.590909091,0.56097561,0.617021277,0.56097561,0.589
DecisionTreeClassifier,rois_ho,4,24,29,18,17,0.585365854,0.617021277,0.602272727,0.571428571,0.630434783,0.578313253,0.601
DecisionTreeClassifier,rois_ho,5,31,17,30,10,0.756097561,0.361702128,0.545454545,0.508196721,0.62962963,0.607843137,0.559
DecisionTreeClassifier,rois_ho,6,24,28,19,17,0.585365854,0.595744681,0.590909091,0.558139535,0.622222222,0.571428571,0.591
DecisionTreeClassifier,rois_ho,7,28,15,33,12,0.7,0.3125,0.488636364,0.459016393,0.555555556,0.554455446,0.506
DecisionTreeClassifier,rois_ho,8,19,31,17,21,0.475,0.645833333,0.568181818,0.527777778,0.596153846,0.5,0.56
DecisionTreeClassifier,rois_ho,9,13,38,10,27,0.325,0.791666667,0.579545455,0.565217391,0.584615385,0.412698413,0.558
DecisionTreeClassifier,rois_ho,average,20.2,28.3,19.2,20.5,0.496341463,0.595345745,0.549974464,0.521317495,0.583407426,0.489017696,0.5458
LogisticRegression,rois_ho,0,18,34,14,23,0.43902439,0.708333333,0.584269663,0.5625,0.596491228,0.493150685,0.574
LogisticRegression,rois_ho,1,28,33,15,13,0.682926829,0.6875,0.685393258,0.651162791,0.717391304,0.666666667,0.685
LogisticRegression,rois_ho,2,23,36,11,18,0.56097561,0.765957447,0.670454545,0.676470588,0.666666667,0.613333333,0.663
LogisticRegression,rois_ho,3,21,34,13,20,0.512195122,0.723404255,0.625,0.617647059,0.62962963,0.56,0.618
LogisticRegression,rois_ho,4,26,34,13,15,0.634146341,0.723404255,0.681818182,0.666666667,0.693877551,0.65,0.679
LogisticRegression,rois_ho,5,26,30,17,15,0.634146341,0.638297872,0.636363636,0.604651163,0.666666667,0.619047619,0.636
LogisticRegression,rois_ho,6,29,33,14,12,0.707317073,0.70212766,0.704545455,0.674418605,0.733333333,0.69047619,0.705
LogisticRegression,rois_ho,7,25,27,21,15,0.625,0.5625,0.590909091,0.543478261,0.642857143,0.581395349,0.594
LogisticRegression,rois_ho,8,25,32,16,15,0.625,0.666666667,0.647727273,0.609756098,0.680851064,0.617283951,0.646
LogisticRegression,rois_ho,9,29,37,11,11,0.725,0.770833333,0.75,0.725,0.770833333,0.725,0.748
